Temperature, Density, Number of particles, Number of time steps, Step size
16,0.2,500,10000,0.005
Average potential energy, Pressure
-5.6888,7.7077
Radial Distribution Function
r, g(r)
24.5,0.020775
24.52,0.020696
24.54,0.020395
24.56,0.019934
24.58,0.020484
24.6,0.020207
24.62,0.02041
24.64,0.020573
24.66,0.020274
24.68,0.020102
24.7,0.019877
24.72,0.020209
24.74,0.020152
24.76,0.020025
24.78,0.020343
24.8,0.020143
24.82,0.020086
24.84,0.019869
24.86,0.020475
24.88,0.020194
24.9,0.020107
24.92,0.019926
24.94,0.020018
24.96,0.019925
24.98,0.019723
